Job ID,Job Title Index,Job Title,Company Name,Company Location,Country
p_8935d8393c48aa19,1,IT Business Analyst – Global Commodity Trading Company,Kerry Consulting Pte Ltd,Singapore,1
p_86542ffff22158ee,1,Agile Business Analyst,ScienTec Personnel,Singapore,1
p_5d4bb444d1a7673c,1,Data Analyst Lead - Business Analytics,Shopee,Singapore,1
p_b7b91023bc5a319c,1,Marketing Analyst,Snaphunt Pte Ltd,Singapore,1
p_c6b1ed7e24162357,1,SOC Security Analyst,NCS,Singapore,1
p_df915575a82af0d6,1,Digital Business Analyst - Data Management and Analytics,Government Technology Agency,Singapore,1
p_347b82bb7bac461f,1,Data Science Analyst,RIDIK PTE. LTD.,Outram,1
p_2d8cbce6d383c988,1,Insights Analyst (#SGUT Traineeship),ISENTIA BRANDTOLOGY PTE. LTD.,Toa Payoh,1
p_9bef6063e915d5d7,1,Business Data Analyst,RGF,Singapore,1
p_8219701d873583f7,1,"Senior Analyst, Customer Insights GA",BD,Singapore,1
p_d805b936d12e6cf9,1,Predictive Data Analyst,NTT Ltd,Central Singapore,1
p_a9d4681bbd6e1b18,1,Global Workforce Management Intraday Analyst,Thermo Fisher Scientific,Singapore,1
p_1815bd3c01b8dd5c,1,"#SGunitedJobs Contract Data Analyst , Analytics & Insights",Singapore Tourism Board,Singapore,1
p_becbe5b1da079043,1,Chief Risk Office - Anti-Financial Crime - MI & Reporting an...,Deutsche Bank,Singapore,1
p_16b52c7e5154760b,1,Data Analyst (Excel),CLARIS TRUE INDUSTRIES HOLDINGS LLP,Jurong Island,1
p_3dc29334df660d0d,1,QC Analyst (Waste Water Testing),Coalesce Management Consulting,Singapore,1
p_6cdc4c96e5f5b5cc,1,Marketing Analyst (Based in Alps Avenue),UNITED PARCEL SERVICE,Singapore,1
p_6f30011a0ed47bee,1,Financial Analyst (6-12 months' contract),Resources Global Professionals (Singapore) Pte Ltd,Singapore,1
p_ec591730ae147b30,1,Financial Analyst,Allianz Global Corporate & Specialty,Singapore,1
p_b98fcf727c583078,1,Business Analyst (Blockchain) - Associate,"JPMorgan Chase Bank, N.A.",Singapore,1
p_631e2a03e0850753,1,Senior Analyst,OCBC Bank,Singapore,1
p_59e7f94951d6fe77,1,Analyst - Health and Benefits,Willis Towers Watson,Singapore,1
p_f1a97a1011205913,1,Batch Analyst,COMTEL SOLUTIONS PTE LTD,Singapore,1
p_2598a26b6163cb4e,1,Analyst,Defence Science and Technology Agency,Singapore,1
p_3ba42a84f53d136b,1,"Analyst, Healthcare",The Economist Newspaper Limited,Singapore,1
p_7fa8c44b647278c1,1,Apprentice - Biz Operations Analyst,Dell Technologies,Singapore,1
p_7b4528a894f34afb,1,Senior Finance Analyst - Global Overheads,Dyson,Singapore,1
p_f9cae1b95a482c3d,1,Online Execution Analyst (12 months contract),Apple,Singapore,1
p_4c6fd484c139652d,1,Senior Distribution Centre (DC) Analyst,Apple,Singapore,1
p_09c73e3003c802c0,1,IT Systems Support Analyst,iSwitch Pte Ltd,Singapore,1
p_e1813eb008dfd73b,1,"Assistant Manager, Business Analyst",Samsung Electronics,Singapore,1
p_951408b4b8a75177,1,Global Technology | Summer Analyst 2021 (Developer),Bank of America,Singapore,1
p_b95ea258baf35bc0,1,Senior Analyst - Trading (Bahasa Indonesia) 6 months FTC,AT&T,Central Singapore,1
p_3ee7868282e99848,1,ERP Application Support Analyst,Trust Recruit Pte Ltd,Singapore,1
p_6c3086777d1f1202,1,Marketing Operations Analyst APJ #SGUnitedTraineeships,Thermo Fisher Scientific,Singapore,1
p_43df03b878a8539c,1,LNG Analyst / Trainee Broker,SIMPSON SPENCE YOUNG,Outram,1
p_1409765b3aedfa57,1,Research Analyst,POINT72 ASIA (SINGAPORE) PTE. LTD.,Outram,1
p_878a8a61cb3cab08,1,Data Analyst,UNIMAS CONSULTING SOLUTIONS PTE. LTD.,Singapore,1
p_c361351379b09242,1,Data Quality workflow Specialist (EMEA_APAC),JLL,Singapore,1
p_f15b0c235649a63e,1,Analytics & Projects Analyst,Ampol,Singapore,1
p_cce00d5a20bdb95b,1,Jr. Data Analyst,Kelly IT Contracting,Singapore,1
p_c66f9fa0b91f00ca,1,Business Analyst,Titansoft Pte Ltd,Central Singapore,1
p_5fbd811d11793124,1,SABRE Business Analyst,Huxley,Singapore,1
p_5858a27ddc13705d,1,"Investment Analyst, Real Estate Fund",Ambition,Singapore,1
p_e24a016d1e097fbd,1,Finance Analyst (FP&A),Aon Corporation,Singapore,1
p_5d2cace7728a516a,1,"AVP/SA, Wealth Management Data Analyst, Consumer Banking Gro...",DBS Bank,Singapore,1
p_d8c5dfbf0c10a291,1,Regional GrabMart S&P Senior Analyst,Grab Taxi,Singapore,1
